brand,brandLabel,brandAlt_en,owner,ownerLabel,industries,isic_codes,country,countryLabel
http://www.wikidata.org/entity/Q163355,Whiskas,Kal Kan|KalKan,http://www.wikidata.org/entity/Q695087,"Mars, Incorporated",,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q167447,Barbie,Barbie Millicent Roberts|Barbie franchise|Barbie product line,http://www.wikidata.org/entity/Q596139,Mattel,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q177092,Malibu,Malibu (rum)|Malibu liqueur|Malibu Rum,http://www.wikidata.org/entity/Q837049,Pernod Ricard,,,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q214314,Pentium,80586|Intel Pentium,http://www.wikidata.org/entity/Q248,Intel Corporation,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q217673,Vespa,Piaggio Vespa|Vespa 946,http://www.wikidata.org/entity/Q841263,Piaggio,,,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q245436,5,5 gum|Wrigley's 5,http://www.wikidata.org/entity/Q819241,Wrigley Company,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q368859,Moon Boot,Moon Boots|MoonBoot|Moonboots,http://www.wikidata.org/entity/Q1658959,Tecnica Group,,,http://www.wikidata.org/entity/Q38,Italy
http://www.wikidata.org/entity/Q390562,Athlon,AMD Athlon,http://www.wikidata.org/entity/Q128896,AMD,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1050690,Matchbox,Matchbox brand,http://www.wikidata.org/entity/Q596139,Mattel,,,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1050690,Matchbox,Matchbox brand,http://www.wikidata.org/entity/Q6531296,Lesney Products,,,,
http://www.wikidata.org/entity/Q1050690,Matchbox,Matchbox brand,http://www.wikidata.org/entity/Q3542657,Tyco Toys,,,http://www.wikidata.org/entity/Q30,United States
